<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<TICKVOL>,<VOL>,<SPREAD>
20230703,11:58:00,108860,108869,108857,108858,58,0,0
20230703,11:59:00,108858,108878,108858,108864,63,0,0
20230703,12:00:00,108864,108875,108863,108869,43,0,0
20230703,12:01:00,108870,108883,108866,108882,44,0,0
20230703,12:02:00,108882,108891,108875,108876,46,0,0
20230703,12:03:00,108876,108906,108875,108906,59,0,0
20230703,12:04:00,108906,108911,108891,108910,50,0,0
20230703,12:05:00,108910,108910,108879,108880,77,0,0
20230703,12:06:00,108880,108894,108878,108892,32,0,0
20230703,12:07:00,108892,108896,108886,108891,39,0,0
20230703,12:08:00,108890,108898,108890,108890,38,0,0
20230703,12:09:00,108890,108891,108883,108891,19,0,0
20230703,12:10:00,108890,108915,108883,108906,50,0,0
20230703,12:11:00,108906,108906,108886,108895,55,0,0
20230703,12:12:00,108895,108900,108891,108895,35,0,0
20230703,12:13:00,108895,108899,108889,108889,35,0,0
20230703,12:14:00,108889,108891,108885,108890,30,0,0
20230703,12:15:00,108888,108901,108880,108900,41,0,0
20230703,12:16:00,108900,108907,108900,108901,42,0,0
20230703,12:17:00,108901,108902,108891,108893,35,0,0
20230703,12:18:00,108893,108896,108889,108890,23,0,0
20230703,12:19:00,108890,108898,108885,108897,39,0,0
20230703,12:20:00,108897,108898,108885,108889,40,0,0
20230703,12:21:00,108887,108895,108885,108894,34,0,0
20230703,12:22:00,108895,108896,108883,108885,53,0,0
20230703,12:23:00,108885,108902,108883,108897,41,0,0
20230703,12:24:00,108897,108902,108892,108901,34,0,0
20230703,12:25:00,108900,108900,108882,108892,41,0,0
20230703,12:26:00,108890,108894,108885,108888,46,0,0
20230703,12:27:00,108890,108896,108889,108895,18,0,0
20230703,12:28:00,108894,108903,108893,108896,33,0,0
20230703,12:29:00,108895,108896,108882,108882,20,0,0
20230703,12:30:00,108882,108887,108878,108886,34,0,0
20230703,12:31:00,108886,108886,108866,108866,52,0,0
20230703,12:32:00,108866,108866,108854,108862,27,0,0
20230703,12:33:00,108862,108880,108861,108870,72,0,0
20230703,12:34:00,108869,108871,108845,108855,89,0,0
20230703,12:35:00,108856,108862,108844,108849,84,0,0
20230703,12:36:00,108847,108850,108844,108844,42,0,0
20230703,12:37:00,108845,108845,108827,108834,47,0,0
20230703,12:38:00,108835,108843,108834,108834,39,0,0
20230703,12:39:00,108835,108835,108825,108835,55,0,0
20230703,12:40:00,108834,108835,108807,108810,78,0,0
20230703,12:41:00,108809,108816,108805,108806,44,0,0
20230703,12:42:00,108806,108806,108792,108795,49,0,0
20230703,12:43:00,108794,108796,108784,108794,37,0,0
20230703,12:44:00,108794,108794,108782,108785,41,0,0
20230703,12:45:00,108785,108785,108763,108769,62,0,0
20230703,12:46:00,108766,108791,108762,108782,68,0,0
20230703,12:47:00,108782,108802,108776,108797,61,0,0
20230703,12:48:00,108797,108831,108797,108831,85,0,0
20230703,12:49:00,108828,108838,108827,108838,71,0,0
20230703,12:50:00,108837,108843,108835,108839,56,0,0
20230703,12:51:00,108840,108862,108836,108862,51,0,0
20230703,12:52:00,108862,108883,108862,108878,56,0,0
20230703,12:53:00,108878,108885,108878,108883,41,0,0
20230703,12:54:00,108883,108889,108877,108883,65,0,0
20230703,12:55:00,108883,108894,108882,108882,34,0,0
20230703,12:56:00,108883,108919,108878,108902,131,0,0
20230703,12:57:00,108902,108908,108895,108898,73,0,0
20230703,12:58:00,108898,108913,108896,108898,62,0,0
20230703,12:59:00,108898,108903,108897,108902,46,0,0
20230703,13:00:00,108902,108907,108893,108902,53,0,0
20230703,13:01:00,108902,108914,108900,108911,47,0,0
20230703,13:02:00,108910,108914,108908,108913,59,0,0
20230703,13:03:00,108915,108918,108912,108916,32,0,0
20230703,13:04:00,108916,108928,108913,108916,71,0,0
20230703,13:05:00,108916,108916,108893,108896,51,0,0
20230703,13:06:00,108897,108897,108890,108891,14,0,0
20230703,13:07:00,108891,108891,108870,108871,31,0,0
20230703,13:08:00,108868,108868,108837,108837,56,0,0
20230703,13:09:00,108837,108837,108824,108829,42,0,0
20230703,13:10:00,108829,108829,108816,108822,62,0,0
